Pivots,Query Objects, Cluster Level, BTree degree, Range, Max Leaf Objects, Average, Standard Deviation
10,100,2,50,0.15,10,4255.05,182.25133058499188
10,100,2,100,0.15,10,3938,114.47532485212697
10,100,2,500,0.15,10,3818.8,76.19947506380868
10,100,2,50,0.15,20,4256,163.65848587836805
10,100,2,100,0.15,20,3970.2,105.14209432953103
10,100,2,500,0.15,20,3813.35,92.76867736472262
10,100,2,50,0.15,50,4286.5,166.72777213169977
10,100,2,100,0.15,50,3957.05,155.86868672058543
10,100,2,500,0.15,50,3828.85,70.44095044787514
10,100,2,50,0.15,100,4219.8,155.92741901282147
10,100,2,100,0.15,100,3911.45,108.5796827219531
10,100,2,500,0.15,100,3807.2,74.8876491819579
10,100,2,50,0.15,200,4227.15,144.57498919246027
10,100,2,100,0.15,200,3929.75,144.68927914672875
10,100,2,500,0.15,200,3853.25,90.18751299376206
10,100,2,50,0.15,300,4246.95,145.15318632396603
10,100,2,100,0.15,300,3991.25,119.12677071086918
10,100,2,500,0.15,300,3854.8,148.6877937155569
10,100,2,50,0.15,500,4301.3,182.3568205469705
10,100,2,100,0.15,500,3899.15,50.1590221196546
10,100,2,500,0.15,500,3772.85,62.970846429121465
10,100,3,50,0.15,10,3842.7,103.93031319109936
10,100,3,100,0.15,10,3758.95,91.71885029807122
10,100,3,500,0.15,10,3646.85,126.59197249430945
10,100,3,50,0.15,20,3885.15,113.05939810559757
10,100,3,100,0.15,20,3824.25,98.4026803496734
10,100,3,500,0.15,20,3662.15,121.86315070602762
10,100,3,50,0.15,50,3871.75,86.43776663010215
10,100,3,100,0.15,50,3822.95,59.52434375950734
10,100,3,500,0.15,50,3700.35,94.96803409568928
10,100,3,50,0.15,100,3847.15,101.81074353917666
10,100,3,100,0.15,100,3731.6,122.09766582535475
10,100,3,500,0.15,100,3667.65,129.48215127962618
10,100,3,50,0.15,200,3887,101.80864403379509
10,100,3,100,0.15,200,3781.3,200.88133312978584
10,100,3,500,0.15,200,3690.05,164.9049650556344
10,100,3,50,0.15,300,3878.75,161.31208107268347
10,100,3,100,0.15,300,3848.8,89.23429833869935
10,100,3,500,0.15,300,3703.1,78.21502413219598
10,100,3,50,0.15,500,3842.6,105.40749498968277
10,100,3,100,0.15,500,3826.35,164.5816742532412
10,100,3,500,0.15,500,3668,129.88995342211808
10,100,4,50,0.15,10,3787.7,167.42613296615315
10,100,4,100,0.15,10,3735.7,140.9177419631751
10,100,4,500,0.15,10,3575.95,145.55942944378424
10,100,4,50,0.15,20,3820.65,165.31674900021474
10,100,4,100,0.15,20,3715.6,115.61591585936601
10,100,4,500,0.15,20,3610.4,126.47308013960915
10,100,4,50,0.15,50,3844.7,130.02811234498486
10,100,4,100,0.15,50,3712.85,116.85258876036936
10,100,4,500,0.15,50,3683.8,94.83701808892981
10,100,4,50,0.15,100,3857.45,87.98094964252205
10,100,4,100,0.15,100,3879.05,143.7332511981831
10,100,4,500,0.15,100,3747.7,104.42274656414665
10,100,4,50,0.15,200,3852.1,81.20769667956357
10,100,4,100,0.15,200,3787.5,44.45278393981641
