Pivots,Query Objects, Cluster Level, BTree degree, Range, Max Leaf Objects, Average, Standard Deviation
10,100,2,50,0.15,10,4408.6,252.4766127782928
10,100,2,100,0.15,10,4040.5,109.06305515618018
10,100,2,500,0.15,10,3909.95,61.78387734676418
10,100,2,50,0.15,20,4382.4,169.51855355683048
10,100,2,100,0.15,20,4044.75,159.43333246219248
10,100,2,500,0.15,20,3907.1,115.35419368189437
10,100,2,50,0.15,50,4331.9,186.38532667568012
10,100,2,100,0.15,50,4045.1,131.21162296077281
10,100,2,500,0.15,50,3903.5,96.07679220290403
10,100,2,50,0.15,100,4338,148.25181280510535
10,100,2,100,0.15,100,4071.15,135.92544831634729
10,100,2,500,0.15,100,3917.25,119.28615804023534
10,100,2,50,0.15,200,4311.6,156.51466384974924
10,100,2,100,0.15,200,4069.65,122.6504280465421
10,100,2,500,0.15,200,3931.8,114.07260845619336
10,100,2,50,0.15,300,4329.65,156.33914257152622
10,100,2,100,0.15,300,4059,97.35245246012039
10,100,2,500,0.15,300,3878.1,111.05039396598285
10,100,2,50,0.15,500,4302.75,159.6996790854634
10,100,2,100,0.15,500,4013.8,106.62532532189526
10,100,2,500,0.15,500,3949.15,224.28091202775147
10,100,3,50,0.15,10,3965.35,81.49679441548606
10,100,3,100,0.15,10,3854.7,116.27428778539131
10,100,3,500,0.15,10,3770.55,89.52623917042422
10,100,3,50,0.15,20,3972.75,118.29280409221856
10,100,3,100,0.15,20,3903.05,130.43484005433518
10,100,3,500,0.15,20,3811,85.22558301355292
10,100,3,50,0.15,50,3975.25,138.1162101275589
10,100,3,100,0.15,50,3852.7,124.13383906091038
10,100,3,500,0.15,50,3765.4,130.21689598512168
10,100,3,50,0.15,100,3964.4,100.99326710231726
10,100,3,100,0.15,100,3934.9,142.496631539135
10,100,3,500,0.15,100,3780.25,112.89857173587272
10,100,3,50,0.15,200,3930.85,115.0127275565622
10,100,3,100,0.15,200,3949.2,105.3767526544636
10,100,3,500,0.15,200,3722.1,138.7634317822963
10,100,3,50,0.15,300,3963.1,107.93975171362958
10,100,3,100,0.15,300,3919.6,122.37704033028417
10,100,3,500,0.15,300,3793.5,135.49594089861142
10,100,3,50,0.15,500,3955.1,116.0835474992042
10,100,3,100,0.15,500,3924.65,116.79951840654138
10,100,3,500,0.15,500,3786.4,114.8126299672645
10,100,4,50,0.15,10,3938.75,168.6410018352595
10,100,4,100,0.15,10,3853.8,96.10234128261392
10,100,4,500,0.15,10,3692.8,134.57287988298384
10,100,4,50,0.15,20,3960.35,118.46403462654816
10,100,4,100,0.15,20,3821.7,110.54958163647657
10,100,4,500,0.15,20,3793,108.44491689332423
10,100,4,50,0.15,50,3944.6,100.66846576758782
10,100,4,100,0.15,50,3898.1,104.07540535592452
10,100,4,500,0.15,50,3840.4,138.24051504533682
10,100,4,50,0.15,100,3933.85,89.7615034410632
10,100,4,100,0.15,100,3890.45,53.39332823490216
10,100,4,500,0.15,100,3833.25,98.72835205755234
10,100,4,50,0.15,200,3878.05,50.545499305081556
10,100,4,100,0.15,200,3908.6,104.72077157851731
10,100,4,500,0.15,200,3790.1,41.34960701143361
10,100,4,50,0.15,300,4035.7,164.0125300091429
10,100,4,100,0.15,300,3942.65,123.56102743179177
10,100,4,500,0.15,300,3805.85,59.82163070328324
10,100,4,50,0.15,500,4237.75,157.7538826780501
10,100,4,100,0.15,500,4123.5,187.6311541295848
10,100,4,500,0.15,500,4104.85,231.4122457866048
20,100,2,50,0.15,10,4737.9,93.13157359349191
20,100,2,100,0.15,10,4665.4,100.54720284523086
20,100,2,500,0.15,10,4554.2,145.69577893679693
20,100,2,50,0.15,20,4735.55,89.35965252842023
20,100,2,100,0.15,20,4684.2,57.86069477633327
20,100,2,500,0.15,20,4591.3,199.46505959691285
20,100,2,50,0.15,50,4737.15,80.07763420581304
20,100,2,100,0.15,50,4712.65,88.04843837343171
20,100,2,500,0.15,50,4591.45,106.21086338035295
20,100,2,50,0.15,100,4721.2,68.55406625430763
20,100,2,100,0.15,100,4678.7,164.3639559027465
20,100,2,500,0.15,100,4607.1,159.2315609419188
20,100,2,50,0.15,200,4747.2,93.81449781350429
20,100,2,100,0.15,200,4679.2,56.25442204840434
20,100,2,500,0.15,200,4557.75,86.20317569556241
20,100,2,50,0.15,300,4742.4,102.18581114812369
20,100,2,100,0.15,300,4636.8,106.17325463599579
20,100,2,500,0.15,300,4565.95,160.74902021474347
20,100,2,50,0.15,500,4727.2,95.1754169940957
20,100,2,100,0.15,500,4701.4,165.25568068904622
20,100,2,500,0.15,500,4571.3,119.17344502866399
20,100,3,50,0.15,10,4626,154.1496026592349
20,100,3,100,0.15,10,4404.4,139.48347572382903
20,100,3,500,0.15,10,4369.3,141.5115189657718
20,100,3,50,0.15,20,4460.75,109.29541390195656
20,100,3,100,0.15,20,4475.4,138.80612378421927
20,100,3,500,0.15,20,4394.4,142.73100574156967
20,100,3,50,0.15,50,4450.9,140.6680134216731
20,100,3,100,0.15,50,4467.45,132.625591421867
20,100,3,500,0.15,50,4438.5,109.9256566957869
20,100,3,50,0.15,100,4446.95,150.67430935630665
20,100,3,100,0.15,100,4525.9,132.91158715476993
20,100,3,500,0.15,100,4417.15,145.53600070085753
20,100,3,50,0.15,200,4621.05,79.27703009068894
20,100,3,100,0.15,200,4603.95,55.15203985348139
20,100,3,500,0.15,200,4510.25,91.42093578606598
20,100,3,50,0.15,300,4662.1,80.44495012118536
20,100,3,100,0.15,300,4615.55,58.17342606379652
